"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtiv";"Tegevusala";"Tegevuskoha aadress"
"KTO025359";"Otsa Elamustalu OÜ";"17205947";"21.08.2025";"Jah";"Toitlustamine";"Otsa, Abaja küla, Järva vald, Järva maakond, 73025"
"KTO025360";"PÕHJA KOHT OÜ";"16580152";"21.08.2025";"Jah";"Toitlustamine";"Kari tn 13, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10311"
"KTO025361";"Classic Toys OÜ";"16771337";"21.08.2025";"Jah";"Toitlustamine";"A. Weizenbergi tn, Kesklinna linnaosa, Tallinn, Harju maakond, 10150"
"KTO025356";"Toitla OÜ";"12860707";"20.08.2025";"Jah";"Toitlustamine";"Käo tn 70-3, Kristiine linnaosa, Tallinn, Harju maakond, 13418"
"KTO025357";"Rahvamees OÜ";"16122679";"20.08.2025";"Jah";"Toitlustamine";"Ranna tee 2, Tabasalu alevik, Harku vald, Harju maakond, 76901"
"KTO025358";"Truu Invest OÜ";"14403188";"20.08.2025";"Jah";"Toitlustamine";"Kuke tn 3, Rakvere linn, Lääne-Viru maakond, 44311"
"KTO025353";"Fare Food OÜ";"17295749";"12.08.2025";"Jah";"Toitlustamine";"Hõimu tn 16a, Nõmme linnaosa, Tallinn, Harju maakond, 10920"
"KTO025354";"Harasape Masmapli OÜ";"17253389";"12.08.2025";"Jah";"Toitlustamine";"Pärnu mnt 32, Kesklinna linnaosa, Tallinn, Harju maakond, 10141"
"KTO025352";"Fenix Management OÜ";"16757580";"10.08.2025";"Jah";"Toitlustamine";"J. Sütiste tee 30, Mustamäe linnaosa, Tallinn, Harju maakond, 13411"
"KTO025350";"Aiataimed OÜ";"17174098";"08.08.2025";"Jah";"Toitlustamine";"Tallinna mnt 8, Saku alevik, Saku vald, Harju maakond, 75501"
"KTO025351";"Tanni Erilised Maitsed OÜ";"17297783";"08.08.2025";"Jah";"Toitlustamine";"Tiigi, Väheru küla, Valga vald, Valga maakond, 68105"
"KTO025348";"SIHTASUTUS ANIJA MÕISA HALDUS";"90009938";"06.08.2025";"Jah";"Toitlustamine";"Kehra tee 8, Anija küla, Anija vald, Harju maakond, 74411"
"KTO025349";"Pöial-Liisi Kohvik OÜ";"14978382";"06.08.2025";"Jah";"Toitlustamine";"Promenaadi tn 3, Haapsalu linn, Haapsalu linn, Lääne maakond, 90453"
"KTO025346";"Marjoram OÜ";"16865073";"05.08.2025";"Jah";"Toitlustamine";"Suuretamme, Vardi küla, Viljandi vald, Viljandi maakond"
"KTO025347";"ruddyxl OÜ";"17005763";"05.08.2025";"Jah";"Toitlustamine";"Viru tn 13, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO025344";"Nomade Resto OÜ";"17226576";"04.08.2025";"Jah";"Toitlustamine";"Ahtri tn 6, Kesklinna linnaosa, Tallinn, Harju maakond, 10151"
"KTO025342";"Marinte OÜ";"16859003";"03.08.2025";"Jah";"Toitlustamine";"Kase, Luke küla, Nõo vald, Tartu maakond"
"KTO025343";"REET PEET";"10318690";"03.08.2025";"Jah";"Toitlustamine";"Keskväljak 7, Jõhvi linn, Jõhvi vald, Ida-Viru maakond, 41536"
