"Number";"Ettevõtja nimi";"Registrikood";"Kehtivuse algus";"Kehtiv";"Tegevusala";"Tegevuskoha aadress"
"KTO025106";"Toome pood OÜ";"17143488";"21.01.2025";"Jah";"Toitlustamine";"Jakobi tn 17-1, Tartu linn, Tartu linn, Tartu maakond, 51006"
"KTO025107";"Resete OÜ";"16549188";"21.01.2025";"Jah";"Toitlustamine";"Kesk tn 19, Põlva linn, Põlva vald, Põlva maakond, 63308"
"";"";"";"";"";"";"Kesk tn 15, Põlva linn, Põlva vald, Põlva maakond, 63308"
"";"";"";"";"";"";"Kesk tn 15, Põlva linn, Põlva vald, Põlva maakond, 63308"
"KTO025108";"EMMid OÜ";"17101886";"21.01.2025";"Jah";"Toitlustamine";"Pihtla tee 24, Kuressaare linn, Saaremaa vald, Saare maakond, 93815"
"KTO025105";"Kolm Maali OÜ";"17075829";"19.01.2025";"Jah";"Toitlustamine";"Tartu tn 7c, Viljandi linn, Viljandi maakond, 71004"
"KTO025101";"Rehealune Selts";"80412432";"16.01.2025";"Jah";"Toitlustamine";"Mõisahoovi tee 2, Mooste alevik, Põlva vald, Põlva maakond, 64616"
"KTO025102";"Vonhauer OÜ";"16800091";"16.01.2025";"Jah";"Toitlustamine";"Tallinna mnt 16, Lihula linn, Lääneranna vald, Pärnu maakond, 90303"
"KTO025103";"CIP OÜ";"14890227";"16.01.2025";"Jah";"Toitlustamine";"Lai tn 30, Tartu linn, Tartu linn, Tartu maakond, 51005"
"KTO025099";"Rigiroomi Godimaloum OÜ";"12662380";"15.01.2025";"Jah";"Toitlustamine";"Kitse tee 18-1, Uuesalu küla, Rae vald, Harju maakond, 75331"
"KTO025100";"Member's Club OÜ";"16148779";"15.01.2025";"Jah";"Toitlustamine";"Raekoja plats 11, Kesklinna linnaosa, Tallinn, Harju maakond, 10146"
"KTO025097";"Iglooo OÜ";"16476762";"12.01.2025";"Jah";"Toitlustamine";"Randvere tee 30, Lubja küla, Viimsi vald, Harju maakond, 74010"
"KTO025096";"Kebo OÜ";"17129229";"11.01.2025";"Jah";"Toitlustamine";"Vee tn 1, Paide linn, Paide linn, Järva maakond, 72713"
"KTO025095";"Ohtu Motoklubi";"80613722";"09.01.2025";"Jah";"Toitlustamine";"Suitsurehe, Ohtu küla, Lääne-Harju vald, Harju maakond, 76621"
"KTO025094";"Nekskörd OÜ";"17150086";"08.01.2025";"Jah";"Toitlustamine";""
"KTO025092";"Tadimelweni Mogonesesi OÜ";"17107431";"06.01.2025";"Jah";"Toitlustamine";"Ehitajate tee 109, Haabersti linnaosa, Tallinn, Harju maakond, 13514"
"";"";"";"";"";"";"Ehitajate tee 109, Haabersti linnaosa, Tallinn, Harju maakond, 13514"
"KTO025091";"Pereköök OÜ";"17113702";"05.01.2025";"Jah";"Toitlustamine";"Vabaduse tn 12, Kohila alev, Kohila vald, Rapla maakond, 79804"
"KTO025090";"Mullur Osaühing";"17132800";"04.01.2025";"Jah";"Toitlustamine";"Pikk tn 7, Rakvere linn, Lääne-Viru maakond, 44307"
"KTO025089";"Sommerman OÜ";"16967939";"31.12.2024";"Jah";"Toitlustamine";"Kristalli tn 16-25, Tartu linn, Tartu linn, Tartu maakond, 50415"
"KTO025085";"Mai Kiosk OÜ";"17082427";"27.12.2024";"Jah";"Toitlustamine";"Mai tn, Pärnu linn, Pärnu linn, Pärnu maakond, 80042"
"KTO025088";"OÜ Kildu Grupp";"12953260";"26.12.2024";"Jah";"Toitlustamine";"Pärnu tn 18, Paide linn, Paide linn, Järva maakond, 72712 "
"KTO025087";"Megakorraldus OÜ";"17136927";"25.12.2024";"Jah";"Toitlustamine";"Vana-Viru tn 8, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025086";"Renmarnik OÜ";"16813969";"22.12.2024";"Jah";"Toitlustamine";"Kalaranna tn 8/8-44, Põhja-Tallinna linnaosa, Tallinn, Harju maakond"
"KTO025084";"Rukkileib OÜ";"17115859";"20.12.2024";"Jah";"Toitlustamine";"Karja tn 12, Haapsalu linn, Haapsalu linn, Lääne maakond, 90503"
"KTO025082";"TG Rocca OÜ";"16968181";"19.12.2024";"Jah";"Toitlustamine";"Paldiski mnt 102, Haabersti linnaosa, Tallinn, Harju maakond"
"KTO025083";"Vastok Grupp OÜ";"17072009";"19.12.2024";"Jah";"Toitlustamine";"Aia tn 10a, Kesklinna linnaosa, Tallinn, Harju maakond"
"KTO025057";"OÜ Puente";"17092354";"16.12.2024";"Jah";"Toitlustamine";"Kastani tn 42, Tartu linn, Tartu linn, Tartu maakond, 50410"
"KTO025080";"OysterBoys OÜ";"16064427";"16.12.2024";"Jah";"Toitlustamine";"Aedvere tn 18, Haabersti linnaosa, Tallinn, Harju maakond, 13516"
"KTO025077";"VAROSH OÜ";"17120518";"10.12.2024";"Jah";"Toitlustamine";"Keskväljak 12, Paide linn, Paide linn, Järva maakond, 72713"
"KTO025078";"Eventra OÜ";"17123577";"10.12.2024";"Jah";"Toitlustamine";"Vabaduse väljak 5, Kesklinna linnaosa, Tallinn, Harju maakond, 10141"
"KTO025079";"Bogi Catering OÜ";"16843338";"10.12.2024";"Jah";"Toitlustamine";"Narva mnt 23, Kesklinna linnaosa, Tallinn, Harju maakond, 10120"
"KTO025076";"VP Partner OÜ";"16658658";"09.12.2024";"Jah";"Toitlustamine";"A. H. Tammsaare tee 135, Mustamäe linnaosa, Tallinn, Harju maakond"
"KTO025075";"Mandel OÜ";"17124143";"08.12.2024";"Jah";"Toitlustamine";"Tallinna tn 88, Kudjape alevik, Saaremaa vald, Saare maakond, 93818"
"KTO025074";"Jamm Eesti OÜ";"14133609";"07.12.2024";"Jah";"Toitlustamine";""
"KTO025073";"OÜ Tacocat";"16991731";"06.12.2024";"Jah";"Toitlustamine";"Kalju tn 6a, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10414"
"KTO025072";"Sip Whispers OÜ";"17126946";"05.12.2024";"Jah";"Toitlustamine";""
"KTO025071";"Prembuild OÜ";"16939469";"30.11.2024";"Jah";"Toitlustamine";"Lauda, Vana-Vigala küla, Märjamaa vald, Rapla maakond, 78003"
"KTO025069";"StarGamer OÜ";"17056312";"29.11.2024";"Jah";"Toitlustamine";"Võru tn 79, Tartu linn, Tartu linn, Tartu maakond"
"KTO025070";"La Cantina OÜ";"17060265";"29.11.2024";"Jah";"Toitlustamine";"Staapli tn 3, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10415"
"KTO025066";"Reute Restoranid OÜ";"16990528";"28.11.2024";"Jah";"Toitlustamine";"Laine tn 12, Võsu alevik, Haljala vald, Lääne-Viru maakond, 45501"
"KTO025067";"G Almora OÜ";"17120642";"28.11.2024";"Jah";"Toitlustamine";"Tartu mnt 1, Otepää linn, Otepää vald, Valga maakond, 67404"
"KTO025068";"Hoiuruum OÜ";"14256447";"28.11.2024";"Jah";"Toitlustamine";"Estonia pst 1, Kesklinna linnaosa, Tallinn, Harju maakond, 10143"
"KTO025065";"Bill The Butcher Group osaühing";"17073049";"27.11.2024";"Jah";"Toitlustamine";"Kopli tn 1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025063";"Kassipoeg OÜ";"17090415";"26.11.2024";"Jah";"Toitlustamine";"Väike-Karja tn 8, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO025064";"Budu Burger OÜ";"17091969";"26.11.2024";"Jah";"Toitlustamine";"Tuleviku tn 10a, Narva linn, Ida-Viru maakond"
"KTO025060";"BlueWell International OÜ";"12459956";"25.11.2024";"Jah";"Toitlustamine";"Aia tn 10a, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025061";"Kopli Catering OÜ";"16615005";"25.11.2024";"Jah";"Toitlustamine";"Manufaktuuri tn 4/1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10323"
"KTO025062";"Datagram OÜ";"12510002";"25.11.2024";"Jah";"Toitlustamine";""
"KTO025059";"Basil OÜ";"14820793";"22.11.2024";"Jah";"Toitlustamine";"Remsoni, Kaiavere küla, Tartu vald, Tartu maakond, 49105"
"KTO025058";"Live on Screen OÜ";"12564191";"21.11.2024";"Jah";"Toitlustamine";"Hommiku tn 5/2, Pärnu linn, Pärnu linn, Pärnu maakond, 80011"
"KTO025055";"OÜ Art Cesari";"16922078";"19.11.2024";"Jah";"Toitlustamine";"Veski tn 1, Kesklinna linnaosa, Tallinn, Harju maakond, 10132"
"KTO025056";"JuSe Catering OÜ";"14965497";"19.11.2024";"Jah";"Toitlustamine";"Liivalaia tn 28, Kesklinna linnaosa, Tallinn, Harju maakond"
"KTO025052";"Kolm ampsu OÜ";"17024849";"14.11.2024";"Jah";"Toitlustamine";"Võidu tn 27, Rakvere linn, Lääne-Viru maakond, 44311"
"KTO025053";"Osaühing Solarell";"10147431";"14.11.2024";"Jah";"Toitlustamine";"Pärnu mnt 32, Kesklinna linnaosa, Tallinn, Harju maakond, 10141"
"KTO025050";"Olvia KONT OÜ";"16900562";"13.11.2024";"Jah";"Toitlustamine";"Suur-Karja tn 12, Kesklinna linnaosa, Tallinn, Harju maakond"
"KTO025051";"GVP INVEST ESTONIA OÜ";"12771903";"13.11.2024";"Jah";"Toitlustamine";"Tartu mnt 49, Kesklinna linnaosa, Tallinn, Harju maakond, 10115"
"";"";"";"";"";"";"Tartu mnt 49, Kesklinna linnaosa, Tallinn, Harju maakond, 10115"
"";"";"";"";"";"";"Tartu mnt 49, Kesklinna linnaosa, Tallinn, Harju maakond, 10115"
"";"";"";"";"";"";"Tartu mnt 49, Kesklinna linnaosa, Tallinn, Harju maakond, 10115"
"KTO025049";"OÜ Skandinaasia";"16951921";"12.11.2024";"Jah";"Toitlustamine";"Maakri tn 23a, Kesklinna linnaosa, Tallinn, Harju maakond, 10145"
"KTO025047";"Alko EST SERB OÜ";"17068999";"11.11.2024";"Jah";"Toitlustamine";"Päevalille tn 9, Haabersti linnaosa, Tallinn, Harju maakond, 13517"
"KTO025048";"Pastatehas OÜ";"17008939";"11.11.2024";"Jah";"Toitlustamine";"Aardla tn 25g, Tartu linn, Tartu linn, Tartu maakond, 50110"
"KTO025046";"OÜ Trading LCH";"17009436";"10.11.2024";"Jah";"Toitlustamine";"Tallinna tn 86, Kuressaare linn, Saaremaa vald, Saare maakond, 93851"
"KTO025044";"Krõbe Torusai OÜ";"16982657";"06.11.2024";"Jah";"Toitlustamine";"Kopli tn 1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025041";"OÜ Tragitegu";"12926375";"05.11.2024";"Jah";"Toitlustamine";"Ranna tee, Kunda linn, Viru-Nigula vald, Lääne-Viru maakond, 44109"
"KTO025042";"Albin Food OÜ";"17102070";"05.11.2024";"Jah";"Toitlustamine";"4. Roheline tn 8, Narva linn, Ida-Viru maakond"
"KTO025043";"OÜ AV Investeeringud";"16303547";"05.11.2024";"Jah";"Toitlustamine";"Telliskivi tn 2, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10612"
"";"";"";"";"";"";"Suur-Karja tn 17, Kesklinna linnaosa, Tallinn, Harju maakond, 10148"
"KTO025038";"Köstre Talu OÜ";"17054690";"04.11.2024";"Jah";"Toitlustamine";"Köstre, Kõduküla, Elva vald, Tartu maakond, 61005"
"KTO025039";"HOTSAUCE OÜ";"17008738";"04.11.2024";"Jah";"Toitlustamine";"Rotermanni tn 18, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025040";"Kodar OÜ";"12966593";"04.11.2024";"Jah";"Toitlustamine";"Kaupmehe tn 8-3, Kesklinna linnaosa, Tallinn, Harju maakond, 10114"
"";"";"";"";"";"";"Vana-Viru tn 14, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025037";"OÜ DomFood";"17070192";"03.11.2024";"Jah";"Toitlustamine";"Haapsalu mnt 43, Papsaare küla, Pärnu linn, Pärnu maakond, 88317"
"KTO025022";"Vcent Juel OÜ";"17086342";"01.11.2024";"Jah";"Toitlustamine";"Tartu mnt 13, Kesklinna linnaosa, Tallinn, Harju maakond, 10145"
"KTO025035";"Shuuter OÜ";"17103394";"01.11.2024";"Jah";"Toitlustamine";"Paldiski mnt 17, Keila linn, Harju maakond, 76607"
"KTO025036";"Auna OÜ";"16008081";"01.11.2024";"Jah";"Toitlustamine";"Kiriku tee 4, Kivi-Vigala küla, Märjamaa vald, Rapla maakond, 78001"
"KTO025034";"Hardtekno OÜ";"17081646";"31.10.2024";"Jah";"Toitlustamine";"Munga tn 2-1, Pärnu linn, Pärnu linn, Pärnu maakond, 80010"
"KTO025031";"Leno Grupp OÜ";"16327157";"31.10.2024";"Jah";"Toitlustamine";"Põlluääre tee 6, Iru küla, Jõelähtme vald, Harju maakond, 74206"
"KTO025032";"Alamarte OÜ";"16842209";"31.10.2024";"Jah";"Toitlustamine";"Narva mnt 7, Kesklinna linnaosa, Tallinn, Harju maakond, 10117"
"KTO025033";"Osaühing Halinga Keskus";"10221759";"31.10.2024";"Jah";"Toitlustamine";"Pärnu mnt, Loomse küla, Põhja-Pärnumaa vald, Pärnu maakond, 87222"
"KTO025028";"Mimosa Production OÜ";"17102456";"30.10.2024";"Jah";"Toitlustamine";"Räpina mnt, Võru linn, Võru maakond, 65606"
"KTO025029";"Käma Foods OÜ";"16850048";"30.10.2024";"Jah";"Toitlustamine";"Kooli tee 3, Viru-Jaagupi alevik, Vinni vald, Lääne-Viru maakond, 46604"
"KTO025030";"TOKYO TASTE OÜ";"17101231";"30.10.2024";"Jah";"Toitlustamine";"Katusepapi tn 11-4, Lasnamäe linnaosa, Tallinn, Harju maakond, 11412"
"KTO025026";"Luksway OÜ";"16968732";"28.10.2024";"Jah";"Toitlustamine";"Mõisavahe tn 36-4, Tartu linn, Tartu linn, Tartu maakond, 50708"
"KTO025027";"OÜ Maitsete Nurk";"17096990";"28.10.2024";"Jah";"Toitlustamine";"Müürivahe tn 2, Kesklinna linnaosa, Tallinn, Harju maakond, 10146"
"KTO025025";"NAAFI Estonia OÜ";"17033624";"25.10.2024";"Jah";"Toitlustamine";"Loode tn 35, Tapa linn, Tapa vald, Lääne-Viru maakond, 45106"
"KTO025024";"Sofi Kohvikud OÜ";"17056708";"24.10.2024";"Jah";"Toitlustamine";"Üksnurme tee 8/2, Saku alevik, Saku vald, Harju maakond, 75501"
"KTO025021";"Prep Kitchen OÜ";"16234384";"23.10.2024";"Jah";"Toitlustamine";"Komeedi tn 16-1, Kesklinna linnaosa, Tallinn, Harju maakond, 10142"
"KTO025023";"OÜ Nordic Islands Hospitality";"10020765";"23.10.2024";"Jah";"Toitlustamine";"Pädaste mõisahoone, Pädaste küla, Muhu vald, Saare maakond, 94716"
"KTO025020";"the doodle bar OÜ";"17069763";"22.10.2024";"Jah";"Toitlustamine";"Väike-Karja tn 1, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO025019";"Easy Cook OÜ";"16519164";"21.10.2024";"Jah";"Toitlustamine";"Laki tn 14a, Kristiine linnaosa, Tallinn, Harju maakond, 10621"
"KTO025018";"OÜ BH Grupp";"17014963";"19.10.2024";"Jah";"Toitlustamine";"Kopli tn 1, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO025017";"RP9 OÜ";"16878354";"18.10.2024";"Jah";"Toitlustamine";"Raekoja plats 9, Tartu linn, Tartu linn, Tartu maakond, 51004"
"KTO025016";"Meistrimäe Kohvik OÜ";"17042416";"17.10.2024";"Jah";"Toitlustamine";"Ehitajate tee 13, Keila linn, Harju maakond, 76606"
"KTO025015";"MereBar OÜ";"16695406";"16.10.2024";"Jah";"Toitlustamine";"Mere pst 8a-1, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO025013";"Kuninga Catering OÜ";"17058073";"15.10.2024";"Jah";"Toitlustamine";"Hariduse tn 1-1m, Türi linn, Türi vald, Järva maakond, 72210"
"KTO025014";"Sooääre Köök OÜ";"16971485";"15.10.2024";"Jah";"Toitlustamine";"Kaasiku/1, Hälvati küla, Lääneranna vald, Pärnu maakond, 90211"
"KTO025010";"Korall OÜ";"12212925";"14.10.2024";"Jah";"Toitlustamine";""
"KTO025011";"Do or Tai OÜ";"16831944";"14.10.2024";"Jah";"Toitlustamine";"Vana-Viru tn 15-1, Kesklinna linnaosa, Tallinn, Harju maakond, 10148"
"KTO025012";"Lutsu Maja OÜ";"16820308";"14.10.2024";"Jah";"Toitlustamine";"Vana-Viru tn 15-1, Kesklinna linnaosa, Tallinn, Harju maakond, 10148"
"KTO025009";"Köögikompanii OÜ";"16755485";"13.10.2024";"Jah";"Toitlustamine";"Maakri tn 23, Kesklinna linnaosa, Tallinn, Harju maakond, 10145"
"KTO025008";"Osaühing Westham Invest";"10637709";"09.10.2024";"Jah";"Toitlustamine";"Narva mnt 2, Kesklinna linnaosa, Tallinn, Harju maakond, 10117"
"KTO025006";"Hotel Group BaltInn OÜ";"17057352";"06.10.2024";"Jah";"Toitlustamine";"L. Koidula tn 13a, Kesklinna linnaosa, Tallinn, Harju maakond, 10125"
"KTO025007";"Ritzy OÜ";"17066977";"06.10.2024";"Jah";"Toitlustamine";"Pargi allee 5, Keila-Joa alevik, Lääne-Harju vald, Harju maakond, 76701"
"KTO025005";"DeepNorth OÜ";"16430889";"05.10.2024";"Jah";"Toitlustamine";"Toom-Kooli tn 21, Kesklinna linnaosa, Tallinn, Harju maakond, 10130"
"KTO025002";"Oja Pizza OÜ";"17025375";"04.10.2024";"Jah";"Toitlustamine";"Oja tn 114, Pärnu linn, Pärnu linn, Pärnu maakond, 80040"
"KTO025003";"Vertigo Events OÜ";"17069438";"04.10.2024";"Jah";"Toitlustamine";""
"KTO025000";"NOOT Agency OÜ";"17034552";"01.10.2024";"Jah";"Toitlustamine";"Telliskivi tn 60, Põhja-Tallinna linnaosa, Tallinn, Harju maakond, 10412"
"KTO024913";"POJU OÜ";"17023465";"09.07.2024";"Jah";"Toitlustamine";"Kivinuka tn 14-3, Mustamäe linnaosa, Tallinn, Harju maakond, 12618"
"";"";"";"";"";"";"Kuninga tn 25, Pärnu linn, Pärnu linn, Pärnu maakond, 80014"
"KTO024835";"PastaHeaven OÜ";"16579539";"26.05.2024";"Jah";"Toitlustamine";"Lääneringtee 39, Tartu linn, Tartu linn, Tartu maakond, 50501"
"KTO024819";"Gastronaut Group OÜ";"14519757";"20.05.2024";"Jah";"Toitlustamine";"Sadama tee 26, Salmistu küla, Kuusalu vald, Harju maakond, 74629"
"";"";"";"";"";"";"Lai tn 33, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"KTO024747";"Carlo?s Kitchen OÜ";"16591807";"09.04.2024";"Jah";"Toitlustamine";"Kai tn 4, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"";"";"";"";"";"";"Pikk tn 35, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"";"";"";"";"";"";"Pikk tn 35, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"KTO024734";"Passionmama OÜ";"16951393";"03.04.2024";"Jah";"Toitlustamine";"Koondise tn 11-25, Saue linn, Saue vald, Harju maakond, 76505"
"KTO024728";"Carmenere OÜ";"16265462";"28.03.2024";"Jah";"Toitlustamine";"Viru tn 3, Kesklinna linnaosa, Tallinn, Harju maakond"
"KTO024691";"Toidukoht OÜ";"16544133";"27.02.2024";"Jah";"Toitlustamine";"Värvi tn 5, Kristiine linnaosa, Tallinn, Harju maakond, 10621"
"KTO024687";"Osaühing Lähte Pagar";"16439838";"24.02.2024";"Jah";"Toitlustamine";"Õpetaja tn 7, Lähte alevik, Tartu vald, Tartu maakond, 60502"
"KTO024646";"Fazulianov OÜ";"16799554";"18.01.2024";"Jah";"Toitlustamine";"Sõpruse pst 211?, Mustamäe linnaosa, Tallinn, Harju maakond, 13422"
"";"";"";"";"";"";"Mere pst 8, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO024626";"Atelier Peter Petz OÜ";"12543450";"12.12.2023";"Jah";"Toitlustamine";"Raekoja plats 8, Kesklinna linnaosa, Tallinn, Harju maakond, 10146"
"";"";"";"";"";"";"Mündi tn 4, Kesklinna linnaosa, Tallinn, Harju maakond, 10123"
"KTO024565";"MR Event Service OÜ";"16820521";"21.09.2023";"Jah";"Toitlustamine";"Mõisa tee 2, Paide linn, Paide linn, Järva maakond, 72763"
"KTO024545";"Yummy Glow OÜ";"16797973";"01.09.2023";"Jah";"Toitlustamine";"Fama tn 10, Narva linn, Ida-Viru maakond, 20303"
"";"";"";"";"";"";"Juuli tn 1-30, Narva linn, Ida-Viru maakond, 20207"
"KTO024521";"Master Chef OÜ";"16434410";"09.08.2023";"Jah";"Toitlustamine";"Sadama tn 25/2, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO024500";"Maa gurmee OÜ";"16229348";"12.07.2023";"Jah";"Toitlustamine";"Kalda tn 10, Mehikoorma alevik, Räpina vald, Põlva maakond, 62511"
"";"";"";"";"";"";"Võõpsu mnt 14a, Räpina linn, Räpina vald, Põlva maakond, 64506"
"KTO024470";"Avaliktoitlustus OÜ";"16735531";"01.07.2023";"Jah";"Toitlustamine";"Aia tn 7, Kesklinna linnaosa, Tallinn, Harju maakond, 10111"
"KTO024417";"ChampChamber OÜ";"14451120";"15.06.2023";"Jah";"Toitlustamine";"Esplanaadi tn 10, Pärnu linn, Pärnu linn, Pärnu maakond, 80010"
"";"";"";"";"";"";"Keskväljak 1, Pärnu linn, Pärnu linn, Pärnu maakond, 80010"
"KTO024397";"Mägilaste Motoklubi";"80398146";"15.05.2023";"Jah";"Toitlustamine";"Metsa tn 4, Rõuge alevik, Rõuge vald, Võru maakond, 66298"
"KTO024372";"osaühing TARVAS VEOD";"11255967";"01.05.2023";"Jah";"Toitlustamine";""
"KTO024353";"Kakurega OÜ";"16720431";"18.04.2023";"Jah";"Toitlustamine";"Kompanii tn 2, Tartu linn, Tartu linn, Tartu maakond"
"KTO024322";"Sihtasutus Eesti Maaelumuuseumid";"90014017";"16.03.2023";"Jah";"Toitlustamine";"Kurgja-Linnutaja, Kurgja küla, Põhja-Pärnumaa vald, Pärnu maakond, 67612"
"";"";"";"";"";"";"Pargi tn 4, Ülenurme alevik, Kambja vald, Tartu maakond, 61714"
"KTO024259";"Ugandi Majutus OÜ";"16102916";"22.12.2022";"Jah";"Toitlustamine";"Valga mnt 23a, Otepää linn, Otepää vald, Valga maakond, 67403"
"KTO024161";"OÜ Novaville";"10574191";"22.08.2022";"Jah";"Toitlustamine";"Lai tn 36a, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"KTO024152";"MiPa Services OÜ";"12271537";"09.08.2022";"Jah";"Toitlustamine";"Rookopli tn 20, Kärdla linn, Hiiumaa vald, Hiiu maakond, 92413"
"";"";"";"";"";"";"Hiiu tn 1, Kärdla linn, Hiiumaa vald, Hiiu maakond, 92413"
"";"";"";"";"";"";"Põllu tn 3a, Kärdla linn, Hiiumaa vald, Hiiu maakond, 92414"
"KTO024150";"Cubanelle OÜ";"16472037";"05.08.2022";"Jah";"Toitlustamine";"Uus tn 4-6, Suurejõe küla, Põhja-Pärnumaa vald, Pärnu maakond, 87602"
"KTO024114";"Liquid Intelligence OÜ";"16535714";"14.07.2022";"Jah";"Toitlustamine";"Õismäe tee 129-24, Haabersti linnaosa, Tallinn, Harju maakond, 13515"
"";"";"";"";"";"";"Vene tn 12a, Kesklinna linnaosa, Tallinn, Harju maakond, 10123"
"KTO024049";"Pagu OÜ";"16505854";"27.06.2022";"Jah";"Toitlustamine";"Ehte tn 4, Haapsalu linn, Haapsalu linn, Lääne maakond, 90503"
"KTO024011";"Veintsik OÜ";"16447298";"06.05.2022";"Jah";"Toitlustamine";"Suurtüki tn 2-8, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"";"";"";"";"";"";"Rataskaevu tn 6-21, Kesklinna linnaosa, Tallinn, Harju maakond, 10123"
"KTO023962";"TMburks OÜ";"16460703";"21.03.2022";"Jah";"Toitlustamine";"Tallinna tn 8, Suure-Jaani linn, Põhja-Sakala vald, Viljandi maakond, 71502"
"KTO023941";"aktsiaselts A. Le Coq";"10034247";"23.02.2022";"Jah";"Toitlustamine";"Laulupeo pst 15, Tartu linn, Tartu linn, Tartu maakond, 50050"
"KTO023896";"Geohost OÜ";"14353707";"09.12.2021";"Jah";"Toitlustamine";"Pikk tn 43, Kesklinna linnaosa, Tallinn, Harju maakond, 10133"
"KTO023892";"FeedMe OÜ";"14867796";"01.12.2021";"Jah";"Toitlustamine";"Harju tn 5-15, Kesklinna linnaosa, Tallinn, Harju maakond, 10146"
"";"";"";"";"";"";"Mündi tn 2, Kesklinna linnaosa, Tallinn, Harju maakond, 10146"
"";"";"";"";"";"";"Urva, Saula küla, Kose vald, Harju maakond, 75117"
"";"";"";"";"";"";"Sõpruse pst 211a, Mustamäe linnaosa, Tallinn, Harju maakond, 13422"
"";"";"";"";"";"";"Retke tee 1a, Kristiine linnaosa, Tallinn, Harju maakond, 13415"
"KTO023887";"OÜ A.A.M. kohvik";"16047759";"26.11.2021";"Jah";"Toitlustamine";"Joala tn 20, Narva linn, Ida-Viru maakond, 20103"
"KTO023835";"Runaway Grupp OÜ";"12726141";"20.09.2021";"Jah";"Toitlustamine";"Pärnamäe tee 4a, Laiaküla, Viimsi vald, Harju maakond, 74008"
"KTO023822";"EhoSushi OÜ";"14834855";"09.09.2021";"Jah";"Toitlustamine";"Sõpruse pst 211a-5, Mustamäe linnaosa, Tallinn, Harju maakond, 13411"
"KTO023756";"Sihtasutus Rannarootsi Muuseum";"90014655";"02.07.2021";"Jah";"Toitlustamine";"Sadama tn 32, Haapsalu linn, Haapsalu linn, Lääne maakond, 90502"
"KTO023656";"OÜ Mõnusad Maitsed";"14185090";"21.05.2021";"Jah";"Toitlustamine";"Aasa tn 1, Põlva linn, Põlva vald, Põlva maakond, 63304"
"KTO023627";"Meeltemaitsed OÜ";"16218741";"11.05.2021";"Jah";"Toitlustamine";"Punane tn 42, Lasnamäe linnaosa, Tallinn, Harju maakond, 13619"
"KTO023616";"Drink Pub OÜ";"12566356";"06.05.2021";"Jah";"Toitlustamine";"Väike-Karja tn 8, Kesklinna linnaosa, Tallinn, Harju maakond, 10140"
"KTO023582";"OÜ Maitselaegas";"16189643";"03.05.2021";"Jah";"Toitlustamine";"Jüri tn 26, Võru linn, Võru maakond, 65609"
"KTO023515";"Taju Resort OÜ";"16150606";"12.02.2021";"Jah";"Toitlustamine";"Tammenõlva, Manniva küla, Jõelähtme vald, Harju maakond, 74217"
"KTO023438";"Padise Mõis OÜ";"16079305";"11.11.2020";"Jah";"Toitlustamine";"Padise keskus, Padise küla, Lääne-Harju vald, Harju maakond, 76001"
"KTO023395";"Ääsmäe Külakogu";"80018304";"05.10.2020";"Jah";"Toitlustamine";"Kopli tee 2, Ääsmäe küla, Saue vald, Harju maakond, 76402"
"KTO023331";"OÜ Karina Bar";"16008481";"20.08.2020";"Jah";"Toitlustamine";"Partisani tn 4, Narva linn, Ida-Viru maakond, 21007"
"";"";"";"";"";"";"L. Koidula tn 19k, Narva-Jõesuu linn, Narva-Jõesuu linn, Ida-Viru maakond, 29023"
"KTO023314";"Kamecom OÜ";"14778009";"29.07.2020";"Jah";"Toitlustamine";"Kaerametsa, Lemsi küla, Kihnu vald, Pärnu maakond, 88002"
"";"";"";"";"";"";"Suaru sadam, Lemsi küla, Kihnu vald, Pärnu maakond, 88002"
"";"";"";"";"";"";"Kaerametsa, Lemsi küla, Kihnu vald, Pärnu maakond, 88002"
"KTO023179";"Vikaria OÜ";"14595238";"01.07.2020";"Jah";"Toitlustamine";"Helgi tee 2, Peetri alevik, Rae vald, Harju maakond, 75312"
